Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,30.2882,27.673,-90.0,top
C2,4.7u,C_0603_1608Metric,23.9522,25.734,-90.0,top
C3,4.7u,C_0603_1608Metric,5.411,26.822,-90.0,top
C4,0.1u,C_0603_1608Metric,32.5882,27.673,-90.0,top
C5,0.1u,C_0603_1608Metric,26.3402,25.834,-90.0,top
C6,0.1u,C_0603_1608Metric,7.911,26.772,-90.0,top
C7,0.1u,C_0603_1608Metric,29.2354,19.7612,-90.0,top
C8,0.1u,C_0603_1608Metric,26.3902,17.784,-90.0,top
C9,0.1u,C_0603_1608Metric,9.3896,18.4802,-90.0,top
C10,1u,C_0603_1608Metric,20.8026,9.144,180.0,top
C11,1u,C_0603_1608Metric,7.1882,8.636,180.0,top
C12,1u,C_0603_1608Metric,27.9146,10.9028,90.0,top
C13,1u,C_0603_1608Metric,14.3002,10.16,90.0,top
CR1,TSAL6400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,35.77,35.49,110.0,top
CR2,TSAL6400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,16.66,44.57,180.0,top
CR3,TSAL6400,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,4.2,35.54,-110.0,top
Q1,2N7002,SOT-23,44.577,25.004,90.0,top
Q2,2N7002,SOT-23,14.4902,30.396,90.0,top
Q3,2N7002,SOT-23,-4.571,26.346,90.0,top
R1,100,R_0603_1608Metric,42.6466,20.32,90.0,top
R2,100,R_0603_1608Metric,11.4902,25.334,90.0,top
R3,100,R_0603_1608Metric,-6.477,19.2932,90.0,top
R4,47k,R_0603_1608Metric,45.1358,20.828,180.0,top
R5,47k,R_0603_1608Metric,14.5902,26.034,180.0,top
R6,47k,R_0603_1608Metric,-4.421,22.352,180.0,top
R7,200,R_0603_1608Metric,35.92,26.45,90.0,top
R8,200,R_0603_1608Metric,18.0902,26.734,90.0,top
R9,200,R_0603_1608Metric,-0.439,26.772,90.0,top
R10,100,R_0603_1608Metric,42.2382,30.896,180.0,top
R11,100,R_0603_1608Metric,25.0402,30.846,0.0,top
R12,100,R_0603_1608Metric,7.07,29.7,0.0,top
R13,100,R_0603_1608Metric,39.11,26.31,90.0,top
R14,100,R_0603_1608Metric,21.3402,26.734,90.0,top
R15,100,R_0603_1608Metric,2.411,26.772,90.0,top
R16,1000,R_0603_1608Metric,30.5054,23.368,180.0,top
R17,1000,R_0603_1608Metric,25.5402,22.184,0.0,top
R18,1000,R_0603_1608Metric,7.3914,22.86,0.0,top
RV1,2k,POT_3296W,37.6682,18.5928,-90.0,top
RV2,2k,POT_3296W,15.1902,18.7579,-90.0,top
RV3,2k,POT_3296W,-0.127,18.6944,-90.0,top
U1,PT333-3B,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,33.53,41.67,110.0,top
U2,PT333-3B,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,23.17,44.55,180.0,top
U3,PT333-3B,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,6.42,41.69,-110.0,top
U4,XC6206P332MR-G,SOT-23_TOR,24.2062,10.852,90.0,top
U5,XC6206P332MR-G,SOT-23_TOR,10.2362,10.16,90.0,top
